song,text
"Michael Jackson_Everybody's Somebody's Fool","burn love sister world though giving brother making everybody fool answer learn live watch sad got somebody torch remember beautiful biggest end pretending school oh begin rule others life go one"
"Coldplay_Sparks","saw yes la wrong oh sing away heart say spark drive always hold yeah know let cry one look promise"
"Linkin Park_No Roads Left","lost underground alone open flaw split fall purpose standing pride like far let regret find behind something breath fear regain inside silence searching direction left lose run perfection sense put look feel pain road knowing deserve one"
"Justin Bieber_Otis Freestyle","love crazy started possibly verse steady morris many person away two want never mine necklace think notice lyrically yeah run sweating bee tree hell heading getting girl type glass funny money calm might photo true literally rollies lens picture worry cryin dream done jet bunny blurry ta claiming making time redding riding bell even fan mystery inside soon saving benz perfectly enemy remember call diamond drum wan lyin probably history ready justin bogus take screaming momma game rim perfect ai bieber spiritually damn proud thanked swear logically swag baby private got looking japan award wipe say hated feel thinking focus zack make really flying guess get wait jealousy knew impossible black little jesus like photoshoot na kick see big hurry nervous honey camera face came envy cause without new bigger mind going gold kenny first mean playing otis personally abundantly memory try already"
"Coldplay_Travis - Why Does It Always Rain On Me?","sleep saying gone belong man tonight everything seeing blue close invisible light shelf held stand everybody even strangest lightning cold shining something got sun sunny avoid eye raining sky always feeling mind else end tunnel seventeen lied oh day life rain get go alright still"
"Westlife_What I Want Is What I've Got","would past know peace appear miracle chance time want let missing see short live scare got found made yes dreaming within cause lonely hold sure feeling mind moment truly dreamt looked back life took deep promised go show"
"Westlife_chances","bed dry reason wrong love spare keep tonight blood frightening mouth time mine let cold since see shining something must sun lonely moon yeah shade darkness moved tempting throat body good give clearly hear bloody please night fading screaming thing bruise spine shaking one show"
"Justin Bieber_I'll Show You","act nonsense perfect forget know verse human way show steel like real want even lightning everyone let chorus never learn see acoustic outro got made sometimes part coming cause say sure watching easy movie pressure feel matter good right thing life get hurting one hard past"
"Linkin Park_State Of Art Ft. DJ Lethal","true young stop best open done cry fall way waiting hole time accepted denied cold see change accept find inside everythng eye always dug run late going moment deeper first nothing reflection slept selfish life help fight faster"
"Taylor Swift_Live For The Little Things","line last quarter oil love happiness black little risk star living turn feettall blue fall ache making ride boot wing romance dress bonnet time dad flower ring everyone na live painting bubble writing fairy fighting every leaf smile red defending much heart ten wish moon always new strawberry yeah sight bath firelight uh clear dance midnight thinking pretending break first oh mean give day right winter take count thing detail go rain along upon one quiet"
"Lady Gaga_Silly Boy","line said miss game would silly ooohhh know done keeper ego way fooled get as away two like acting comin flower buried want tellin regret live think face outta corny treat bad coming mistake cause say without fake ever place remember lose yeahhh stay boy people nooo boyboy hate key good taste girl day oooh back make callin thing turning hair ok fun"
"Lady Gaga_Joanne","would could hand love heaven know verse goin grin way honestly baby chorus work even see anymore think every bridge part heart say goodbye angel stay need movin aching soar girl ready thin take joanne thing promised voice get wait still"
"Coldplay_Don't Let It Break Your Heart","catch hit lost said heard shadow trying stop come though waiting shipwreck baby na never even map trap let regret well burning find part heart call mark cannonball aim aiming fell flowing heavenly go vein arrow break tired gon still"
"Michael Jackson_A Brand New Day","hope reason gone owe freedom knew happiness world check harmony come living morning way waiting rejoice like glad everybody singing let u see commence hello joyfully shining change live got fear brand sun liberty heart always new wake somehow silent look feel different free day thank dread show"
"Rihanna_Afterparty","nyte ryte die ur riri food come turn backstage fifty beat ride nifty like drink vodka chorus amaze feelin thirsty got di kyte play age stay drum feeling going awesome da party fly dum played name uh ting mc oh make par nicki leave welcome lyte get one display"
"Michael Jackson_Cry","kind last shake blind hiding madness world touch tonight one chosen child dream faith cry lacking miracle unfold shine prayer someone buried time na chorus cried answer missing mystery feelin clue change sad found respect friend sun wind face war somebody eye truth ever hold sky untold call story reach need people end blow tell taking laugh believe take night unheard life sign fill hero flag help gon man"
"Celine Dion_Cherche Encore","continuent si tu beau peux lois jamais tourner paradis une et secret va perds barreaux loin couloir rester histoire plus retiennent mondes fort avant moi que ta lera ton saurai sans fuis chelles derri goldman tant petite encore le serai l dans ailleurs porter tracent je cri serte gen raison aussi moire suis flamme an lumi trop mot la de te un dort foi qui ouverte temp cherche vent murs choisi peine br veux f porte tombes"
"Coldplay_Bright New Dawn","said wrong running beating belong love world newdawn suprize come open seeing done corus nobody away aredispise together let change big inside listen sivilization tight comewith eye heart fixing quickly ever new hold always shade easy bright people dawn good help island openyour hide forever try go"
"Rihanna_G4L","playin die lady roll gun army shit ai better navy world around crazy know gang motherfucker come done yet air goin bitch gangsta like drivin baby soldier na solider chorus everybody let dirt u actin standin trippin got nigga lick sweet handle bang lot play headlight boom finna wet reloaded yeah stay motherfucking wan loaded going fire need feel break oh tell girl day high ready go disrespect hurt life revenge take whip get knee quiet promise"
"Celine Dion_If We Could Start Over","said wrong past could would love realize knew walked know unsaid start meant many way strength away pride held torn fade want never stand let see inside something got found still walk year say truth left sure understand faced afraid strong oh stronger thing try go better"
"Linkin Park_Empty Spaces","mistaken motherfucker chuck closest seems person situation tough want everybody change found swallow record dance follow talking money underrated fame criminal pac catch stop ya far even work kane fortune robot stage peak lazy increase pay one act correct said game ai pattern opposite ring brought funky got underbelly say crack motherfucking rocking telling weighs thing get step heat worse gon gone trying uzi sicker tone come start blueprint chain student like dog next leader na big sending role every came weak taught place slack state people ugly first theory punk complication curse pill model born try gift awfully monkey forfeit beat better"
"Rihanna_Towards The Sun","towards lost shadow roll love trust better know faith verse turn fall queen seen get rock swear like far rust time na chorus never let home find behind got still face yesterday sun bridge heart king sky remember filled lose soul run gold reign look worth control chase back edge night burned go carry gon promise"
"Michael Jackson_Call On Me","separate sunshine love kill happiness world around best come enough dream turn seems get away darling want happy cold live leaving sad got think yes heartache golden understanding wish rough glare ever goodbye call write stay remember going need give day taking looked make parting thing life rain may go elsewhere wait"
"Rihanna_If I Never See Your Face Again","somewhere lost burn gone gun man keep little tonight know promise torture wonder half sway lover away far baby fade time never talk let learn see well find behind breath think face sometimes much summer coming heart say neck move deceive easy blazing slip mind reach else another put feel end thought give tell type begin please taking right make believe back leave take get one hard better"
"Westlife_Let There Be Love","hmmm love umm dove chile champagne someone whenever let wind sing occasional sneeze sea cuckoo carne oyster bird tree sparkling first please con rain bless lark"
"Taylor Swift_Innocent","bed hope lost would balance shattered know everything warpath monster flame september one turn runnin okay seen light easier crawl someone two time tough everybody like never brought u see live floor change thirty string every tryin today growin brand tight speak crowd left always bigger beautiful caught new remember mind late rope alright bright reach wild weather oh innocent day tightrope fell back asleep right messed really believed guess thing night life get ember lunchbox wait still"
"Linkin Park_Wake","blind wrong could maybe dream start fall time mouth never crush tried without lose foot wake yeah stormy sight scared weather nail taste oh one hard"
"Lady Gaga_Someone Save Me","tragedy love forget alone know care cry crisis someone baby want na let u save anymore concern mistake direction scared critic wan need feel please make leave wont dark help"
"Rihanna_There's A Thug In My Life","quarter keep tonight crazy know everything opened way waiting hatin never mine loved sorry heart scoop right life worry side whose slow meant goin ta friday personality real time sometimes mad call name drama six around momma cellphone one said lady game ai proud care brother ride kinda together disappoint got friend lot say fly need feel make night forever thing dark get treating gon whatever train low start like glad lock na let see hurry met every thug cause shady good give tell crew nine fun"
"Justin Bieber_I Would","welcomed dry would could hand love past hideaway know tv flaw though paint dream living smiling wide cry way lover away buy baby na never fancy want let u see smile got face satisfied made read sometimes say sky always ohh yeah run easy wan ask mind need put pain key oh day doorway right make american leave take hurt thing forever anytime try gon hard better"
"Celine Dion_Bewitched Bothered And Bewildered","sleep told lost spring would could bring love crazy know beguiled child although situation like long babe bewildered fool charm cold since blink whimpering came sing heart old agree bothered wild lately wink slept day laugh cling simpering bewitched might arm show"
"Westlife_Love Takes Two","shane said true disguise could slay love sharing alone crazy best know hey enough done supposed gon way decide away two someone baby drive whole time want na fool proven read much lot bad trouble without heart imagine talked yeah mark move going else need feel heading tell girl taking telling word take thing may million one"
"Westlife_It's You","hope hand knew set world everything done ahh morning many away long light baby time talk never want mine everyone see since waltz burning behind something every grow walk bad came eye cause say much year truth new angel place beautiful old fire beside need different oh tell laugh memory night thing life get go nothing one hard showing"
"Celine Dion_Love Doesn't Ask Why","wrong hand love know come explains plan away expect speaks question chance chorus never twice choice let u answer wrap whisper think found much heart say pas understand feeling ask sense distance afraid feel strong moment give right make take voice try around arm soul"
"Lady Gaga_Beautiful, Dirty, Rich","daddy perfect shit dirty fematic ppparty topped light like chorus pant systematic live honey got tug sound pornographic red wrecked sorry bang tight automatic plastic made yeah beautiful ice party dance n rich getting right money life hair cream fight cute"
"Michael Jackson_Blue Gangsta","lie said abused could love ai guy world know everything crime done fuse cry amused fall blue way long light wife baby na never mine longer see big change watch aaaah naaah tricked smile got friend coming sing cause left run wan bangsta another put look people nothing thought oh nine girl gangster make telling back hide thing five get carry gon waited"
"Taylor Swift_Crazier","door kind lost gone would trying could love wanted showed know everything opened til blue seen spin crazier wing like real baby want never na flow let see lift anymore find something every made wind much came eye livin sky foot falling wan fly changed distance feel oh make watched believe take along hide life around ground"
"Celine Dion_If That's What It Takes","lay sleep shadow breaking crashing descend love promise alone risk know everything cry beat bend reached light like shine baby rock stand even thunder never let explain see home live second bravest inside smile every storm face whisper sun fight wind fear eye heart say without given place smoke wave call ever hold fire need afraid end name pain body till give day right make bleed higher take night go strongest dark life rain break arm rise soul"
"Michael Jackson_Euphoria","bed full roll victorious frustration euphoria great love invitation world rest star rainbow choose dial start living power blue way close standing rock glow long flower anything hymn never singing happy see watch smile today thrill clean glorious eye heart say wish new understand easy feeling feel free healthily good ill give anyone word knowing pill needing wearing fine still"
"Rihanna_Cry","gone drown love spent maybe walked know open grip condition cry meant loving apart purpose away like someone baby whole time never chorus let u cut see tear figure sad stole inside got knife much tried heart say felt goodbye kissed spinning hold stay relationship mind personal losing round feel different victim matter first mean girl type give truly happen upset leave broken hurt thing happening life deep stray get symptom hurting go show"
"Taylor Swift_We Are Never Ever Getting Back Together","last saying said miss cooler would love month broke tonight know come enough used peace seen picking away like swear baby time na never together talk mine change exhausting find think friend fight much say record ever remember call yeah falling mind lasted space first hate called oh getting huh mean needed day telling back right indie go night really screaming hide forever around break trust gon still"
"Eagles_Still Got The Blues","playin game love know come though used fall blue many way seen away long win time mine ago since got found face friend year price heart lose easy lead empty pain space road give day pay thing known go one hard still"
"Linkin Park_Nobody's Listening","division head chest forget keep everything started rolling track nobody want never sweat basement year heart point rewind peep talking rhythm clearly hear right lyric warning backing hurt life waste rise still full checking struggle set ta question time riding chorus dirt everyone cut rap something fear drop call else back meantime loud one could spreading dirty stylistic living blood ash held together unforgiven tear got forgotten guessing left sight clear pain scratch kid ignore gain get nothing gave told handful suppose come number ignores like trash talk anger stress uphill every coming write feeling people rhyme pressure hate give listening style try better"
"Westlife_I Cry","said told true would could love knew know sorrow wonder cry apart away anything stand never let see inside something bad somebody without lonely wish goodbye ever new lose feeling hopelessly slip breathe silently spell need another pain hell oh tell girl fell needed day please believe back tomorrow go make thing try break hard still"
"Linkin Park_The Radiance","line would trying persuade knew world suppose form death way cried impress destroyer remembered laughed duty say vishnu another silent people thought scripture take prince hindu become one"
"Westlife_Total Eclipse Of The Heart","line turnaround terrified gone wrong shadow total keg love spark bit little tonight best know giving child dream living start cry fall apart making holding like light time together never na see nervous tear something every got sound tight year coming eye cause heart lonely ever always hold falling bright wild need angry look round end nothing helpless lying restless arm right powder take listening getta forever dark really eclipse get upon life tired gon"
"Westlife_Lost In You","lost god head known love touch suppose heaven know field way waiting get daze holding baby never swearing something every found came dreaming surrender angel ever wonderful feeling played oh send forever around heel show"
"Lady Gaga_Wonderful","line lost would love wrote stop valentine little struggled crazy everything know dear ride pie baby cried ate time never cherry behind inside something looking slowly kiss eye cause weird circle song place loose understand beautiful stay wonderful mind coloured hungry slice park talking oh fell high believe leave take really night bench dark get nothing"
"Linkin Park_Wisdom Justice And Love","lay true men orphan hand love world poisonous tonight come widow battlefield order way human magnificent nation choice worship napalm home burning sending leaf conscience war deranged revolution say drug humane psychologically handicapped being physically reconciled settling house difference people filling injecting business hate normally value bloody wisdom justice vein dark"
"Michael Jackson_Dapper Dan","shake hand country little around ya know hey dancing way show like harmonica baby whole na want ryhtm let sha floor watch dan got found sexy master lot use sing fastest king boom ohh soul foot dancin music boy dance name discoteque soulful lotta la huh rhythm mmmm oh dapper get gon beat man"
"Lady Gaga_Second Time Around","strange last said kind wheel joe could love forget maybe crazy know best crossing done wonder used meant way ferris ride like long acting baby speaks time babe talk even stayed u see pretend second still think favourite got sorry coast tried cause harder heart say place always remember yeah sure going hanging barely boy look feel thought unemotional oh getting tell ready back leave word unpredictable thing around hurting one fine past"
"Westlife_On The Wings Of Love","full lost could love world touch know though dream turn way seems close away guiding light shine like wing whenever want even change lift honey every whisper wind weak swept stranger ever hold else need feel good tenderly oh blow darkest taking high higher take night forever life flying go one still"
"Linkin Park_Two Worlds","stepped saw strange told lie dissolving sunshine would book love better realize stop joy one stallin living brother blood litterate slepped bitch ta way begged selling together never twice sweat want learn see live tear crept change got conscience face every ear price laughed somebody livin place always deaf stay falling kept judge burned gold another changed name backstabbed different people pain maintain yo cover hear calling day obtain laugh pay turned others life spill rain get knee ground crossroad case soul"
"Justin Bieber_Out Of Town Girl","catch passport hand love ai know shy one hey ta town way ride like swag baby want na never flow let smile got think exit read near walk eye hold yeah feeling wan ask put name different oh girl tell right yeahyeah go try get sign gon show"
"Rihanna_Birthday Cake","cake birthday know come ooh fuck bitch way worst like baby anything na even want lick enticin candle bite wan else put name excited bet body blow icing right make nothin hide tryna try ama get wait"
"Linkin Park_Burning In the Skies","lost cloud separate blackened beating chamber alone wood ooh ocean blood swimming debris form apart human apologize blame held bone mine burning storm bridge made began use smoke deserve heart sky filled dead sea poured burned breathe fire losing end woah make cup innocence rising rise"
"Michael Jackson_Dangerous","phone head love honeycomb sin walked tonight know way aura away cried never mine loved kiss eye return point dangerous vain house throw called girl pray right turned money hurt deep felt go trust soul line sleep room presence touch cope lover standing time touched something spirit inhumanity persuasive call drop divinity darkness happened name manipulation take desire strange said stalked blind god could lip damn living insanity sharp baby mouth web sword pretend tear trapped whisper friend bad left woman feel walking smoother passion section motion door oil knew alone come taken talk honey every face came inner place feeling moved different good fell word hair lust"
"Rihanna_Man Down","bum know downtown started expect situation bar son never fore somebody heart pull crowd mercy lose ol run rum altercation shoe end amma right turned sue hurt life took criminal arm sleep gun cry mama aye pulled gosh coulda cool real time even peggy soon ever call late judge wan fire central happened simple please back one said went living turn station whatchu sticky none pon say mi sight dem reach uh need minimal thinking make night get gon lay trigger little town gim shot na fool longer bout big see behind wah nigga boom front facing mind ehh thought oh mean tell lorda playing fit leave man"
"Justin Bieber_Right Here","last lost reason would love ai knew perfect impatient know gon nobody ta waiting brace baby time na never together mine let want work since see every got theend kiss eye cause hug say wish ever hold yeah scared stay wan going ask else need put look end feel worth good till control nowhere girl tell oh right make leave selfish hurt forever thing get go alright fine promise"
"Michael Jackson_Jackson 5 Medley","love world keep know crossed faith way strength shoulder chance want since cross found much heart grade crowd yeah comfort look strong heading took go quit arm promise bring stop slow dream traded zone holding danger yes must ever call late glance name bunch school day please back take around one show blind hand maybe holdin ooh pretty someone baby ring save find old reach played boy fad make thing wanted alone chasin darlin like glad darling tag stand let picked see second honey salvation face made always new pact build good oh give grew better"
"Lady Gaga_Electric Kiss","father love lip happiness world poet weapon know twisted one masochist start peace superstar felony generation myth holding midst na want independence together ludicrous time change live must kiss solitude without kissed ever losing put control give pleasure arm resistance consumed forever life electric voice fame go confused gon"
"Justin Bieber_All I Want For Christmas Is You","door true reindeer could bring keep tonight toy know come everywhere care child asking gon north ooh air waiting standing laughter claus awake holding light baby list click want even na everyone happy singing fireplace bell stocking see shining ringing magic present tight sound much lot underneath outside wish babe ever mistletoe stay ask sleigh need snow tree oh hang nick hear santa day send saint make brightly please right really thing pole fill christmas upon one"
"Lady Gaga_Earthquake","planet last could picture love young forget maybe seem though long bar baby never let quake made guitar across ever left earth scream neil boy name girl fell earthquake back leave go carry"
"Celine Dion_Incredible","learned simply love world little way real whole even everybody let u since counted using say remember sure watching matter oh give history amazing dish make word take incredible describe intimidating go calm nothing one"
"Lady Gaga_Nothing On","tuned hand food tonight know low defense desperately station light time headboard smile got much bad soon cause radio need boy dance worth good tell calling turned make get nothing wait better"
"Westlife_Hey Whatever","line hit wheel whatever true room color world come hey alive aaaahh waiting freak standing show liberate question time philophers chorus answer let fool colour change well still found guru cause say sky new universe mind story science sense need paper feel bet roulette seat thought control oh tell champion taking make proved philosophie really thing fill beauty take one profess man"
"Linkin Park_Fuse","donkey slipped handsomely head shit hong know impregnated fuse duck letter itdown intensity track strength close shrapnel want strike u change short home think snake sing opposing testing loose yeah run cat deford grab company attack lyrically dodge look end putting space battalion spot talking hear send lyric powder right king break eardrum fearsome full burn ransom level gun speech getskicked bring youwant broke notch spit meant sectional piece profilactic light question mightier even protection breeze troop bridge combat nodded speak enemy spoken gay battle course name body eighteenth sent please back sheet pest crooked around one channel italic hand swiss theback sting butt tactic frind kicked cord syllabalic suit fam friend mention warfare fitfully krypton crack hold attention need gadget put ripped junkyard mc gas smack slash section surprise kid rebel get step enola pen wait crafted gone galactic trying tax gear little reputation kong shallow spiraling shall come rid low fieldsin long rock like shot trap let see mic made match ruckus front song grenade rhyme tech lalala blow witness intention fell word cheap pat versus"
"Linkin Park_In Between","hope lost language trying come one plan way apologize worse pride someone anything guilt want chorus let explain regain got fear none harder say speak truth caught understand else somehow seemed afraid action begin genuine word thing get trust lie promise"
"Coldplay_Everything's Not Lost","saw demon lost could everything come get neglected away shoulder everybody singing let counting think every drag sing cause ever yeah drove feel good thought oh day hoping around one"
"Rihanna_No Love Allowed","hit die said told blind foolish critical could hand love fallen man murder world keep usually best come one care numb done cry mama inna air til bullet away emergency like ever na mine let u cold asked floor tear nigga allowed waved eye heart cause wanting wave charge goodbye run beautiful call yeah sky wan ask alright murderer put feel core oh hear broken flying thing screaming rebel get lie knocked case better"
"Rihanna_If It's Lovin' That You Want","share could wanted love secret world know come everything one dream wonder loving erase fantasy long push someone baby like whenever want comeshare let see got think fear friend dey walk di cause heart lonely ever hold call feeling homey da need boy break sincere girl tell right make take around go trust obvious hard"
"Linkin Park_Hands Held High","running chest healing rest risk world know vest blew enough treated ocean blue way bomb bulletproof abandon away want compassion u jump war found sun year bike swallow sky loose understand attack end tree poor pray louder happen lightweight spine might promise syllable die room react would summon wonder jet clothes standing pride aside mumbling amen time mosque cold inside something today fear red scared road news day ironic high back take sheet panic complete bank one show meanwhile men blind replay could hand wrote tank tense fraction open living brother turn fucker later brush jeep market wage held soldier sick got leaf respect brand yesterday lot dumping cashing say laughing hold watching old cater bus angry put feel march gas jumping quote really dark kid get obvious pumping stuttering book fist nightly check little come asking start fuck like taken next dad leader talk let see nervous mic stupid coming shop ten age drugged stepping mind dust another drumming people rhyme different street bold thought rich tell action cover word broken blown bound"
"Coldplay_2000 Miles","miss gone child dream appear get frozen like mile far time singing colder wherever think sometimes sparkle came outside heart sky diamond falling silent snow people hear day purple night christmas felt go"
"Linkin Park_Let Down","gave spring game would hand love everything enough start listened fall stretched like na want unfoolish let terrain cut live tear face brand skin must year across heart say within drain new old scared vain wan going lead played end pain thought oh road winter word life rain deep known lie"
"Michael Jackson_Hot Street","young realize tonight flame moving neon seems chance never think stone aow eye heart within yeah run corner fast round shooter life hit bed walker stop cry lover standing spin holding light oo time explain yes someday sucker lying winner ready take loud around slight one cruiser care alive fall sharp fantasy slowing loser evening mover looking laughing pas old put feel gas make night dark get gon fine hot share trying spare little come start beat smoking na see big every shaker loaded feeling gold people street burnin spender fun hard"
"Westlife_The Dance","miss would could world know star everything hey fall way holding glad held chance shared looking say king ever goodbye left missed might changed moment dance end pain memory back right life known go better"
"Michael Jackson_If I Don't Love You This Way","hope playin create game could love belong touch world star everywhere care sweetest dream loving way ache seems close surrounding explain find smile much eye say ever reckless yeah doubt reach need valuable pretending strong worth believe make really thing life beg still"
"Linkin Park_And One","hope strangles head numbs love midriff analogue keep ignoring crime disjointed drip home forced reeling express flush heart point blessed taste hear hurt waste break lie room bring cryptic spit peace field pound making far riding commitment inside rap helped jaw fear red tangled heal dead late release rush involuntary ill contraction proof taking resistance take around persistence locked one show said ceiling twisted blood witless regressed web colloquialism bubble find got embark left shift distance muscle frequency gas make guess dark catalog shadow breaking drinking alone stuff start anger flesh every face sound pressed part boom involved state feeling hate thought witness word gift euphoria musical"
"Coldplay_Trouble","lost said twist wrong head little done meant turn harm web never singing see spider well middle bubble stupid tangled trouble cause ever run caused thought oh turned thing caught spun"
"Linkin Park_I'll Be Gone","gone trying could oil stop alone know star glistening open setting like light time fade deceiving chorus let u leaving shining think horizon sweet slipping silence sun eye across thinner forgetting left another dripping help getting tell oh winter tomorrow night bitter climbing go nothing one rise"
"Justin Bieber_Children","inspiration die sleeve whose enough child gon verse visionary generation wear na chorus change hello got heart vision yeah biggest difference look bet oh believe make fight one"
"Rihanna_Game Over","door lost said shake game wrong saying running love ai obsession broke changing know come though meant opened way finger lover pushover expect like chance click na never want even doormat let anymore comply crave text mistake walk reply linger worked shut wanting run wan story everytime coz barking afraid end happier tree feel put oh tell day telling back messed take night least get go fight gon fine man"
"Rihanna_Selfish Girl","saw share full hope saying minute trying extreme love ai bit maybe world crazy know come mean giving care done smiling track way criticize suddenly apologize like tripping baby time want na talk chorus never let missing see something got think every mention bad understanding killing cause anybody say lose understand wan mind feeling attention guaranteed demanding need boy feel fact good addicted recognize give simple girl day greedy blow quite crew make amazing selfish night playing life concealed get might lie constantly"
"Justin Bieber_Overboard","swim wanted lifesaver love halfway crazy whoa ya know giving overboard supposed meant forth seems drowning like reaching baby na talk never save understood change short see anymore got much part coming without say pull cause call yeah sea wan kept need feel thinking throw oh give taking back funny take meet thing felt one water still"
"Rihanna_Get It Over With","dry saying roll cloud keep tonight cry start wondering rolling way ride away baby time want lightning let change see thundering rage float sun fucking heart say call feeling need afraid look feel pain hate getting day pray high dark complain get go alright"
"Linkin Park_Final Masquerade","said reason shadow slipped would tearing wanted could secret keep crime apart waiting suddenly standing away light time fade see floating find behind something horizon yesterday washed say masquerade speak ever truth left moment end brighter scar begin forgiveness word tomorrow forever final"
"Celine Dion_I Believe In You","true si tu sais love il knew va know chosen dream tous souviens vous regarder que path ta ton en sans pa close light chance toi let find duet le l au fond toucheras je someday heart lonely se place angel qu crois hold suis flamme darkness kindness lead toile ira jour lumi n tint te follow road ou un restless day la de back believe divo turning derri go nothing one porte"
"Michael Jackson_I Wanna Be Where You Are","door gone heard future trying love worry maybe everywhere enough ooh used many ta close away long baby time stayed want na let well yea inside got aah coming tried cause always stay mind story oh give tell anywhere please back leave thing get gon better"
"Michael Jackson_Remember The Time","phone said spring would young hand love forget heaven ya know ooh used dear fall morning like long holding baby two time together talk never let u met every sweet began stare sing eye beach remember always yeah stay special mind three seemed dawn end bird matter park first till tell innocent fell day girl back memory night thing spain dark go"
"Celine Dion_I Knew I Loved You","last shadow would hand knew world incandescent around know star dream afar wrapped glow built time together u evening ohhhhahhhhhhhh loved among found sing ooooooo lead need softly end day please begin watched tomorrow night ahhhhhhhh guided moonlight"
"Lady Gaga_Angel Down","catch lost foolish wrong young grateful church belong courage used verse rather stood shot sacred leader chorus stand everyone save chaos pretend outro bridge age angel fired confess lovin weaker people believer trial street oh faded hear take meet social around knee arm test"
"Eagles_James Dean","die said would could young hop dean know little low james breakin cool silver rider talk even bought pop see picked live screen got clean bye came bad shop cause ever sight refrigerator sock auto fast look spyder hungry unseen school road mean oh soda basketball rule lean along thing life took rebel wonderin eternity might alright"
"Rihanna_Lost In Paradise","lost gone wrong love ai little tonight flashing know open supposed paradise fall delusional art like light work let see fear storm somebody eye heart harder sky yeah stay darkness mend feel tell fell right deny take may soul"
"Westlife_Don't Let Me Go","game would love stop keep know care low start turn apart way ta away talk want work longer let u see figure hearing fair got listen whisper think grow much stare tried heart say cause yeah stay feeling people sort simple hear tell playing telling make thing voice spoke go hard"
"Rihanna_Only Girl","hot bed last love ai doin forget world secret tonight leavin ya know one pillow come verse youlike command prisoner ride pride like baby want na chorus let inside bridge yourheart enter imma swallow heart ever hold keepin wan understands thief boy feel thinking la oh girl tell high right make take night cuz gon rise man"
"Rihanna_Higher","line hope full could love ai j bit little know come pretty verse way tray as drink light pardon ash babe na chorus sizz let feelin whiskey impolite got drunk sorry much smoke say ever pour old late stay wan mind fire need turnt creative calling back higher take really night thing go poetic still"
"Michael Jackson_Blame It On The Boogie","full burn cloud sunshine gotten boogie ai goodtimes super dirty per groove nobody grazie seen long questo baby time want chorus lightning fault trance testo funky magic inside got eye foot yeah fever move dancin music fire dance good control rhythm leave take devil night blame moonlight"
"Linkin Park_Morei Sky","hope gave deepest reason shadow god could verse way highest chance chorus lived amends see second find yesterday face came say sea losing seemed look end rose tree first pray dreamt back make repeat thing life still"
"Linkin Park_Piercing The Skin","piercing said would know smiling blood turn way time chorus see floor cut find skin say felt going ask compare look seperate deeper pain arm around go nothing one hard"
"Linkin Park_From The Inside","last trying trust know everything steadily way away swear far building time forcing everyone happy inside every think sift much ever foot tiring dust put feel throw thought deceit back make take tension surprise try waste get break tired lie"
"Justin Bieber_Flatline","act catch lie miss told last hit said could love know come damn giving became care seeing wondering like time na talk even let busy breathing leaving fair plug listen think bleeding bad imma cause pull reply heart shut always wan need different victim lately road control schedule mean girl probably believe knowing life dedicated flatline go one"
"Michael Jackson_I Like You The Way You Are","gone lady god car love closer ai keeping keep around side owh come one hey giving paint ooh pretty jackson turn concert way town nobody pick buy britney like mile baby swear babe knock never twice darling micahel mine time live spear na forevermore michael hee satisfied kiss lonely felt ever foot hold fever feeling working wan feel gentleman bless feat ecstasy business oh give anniversary tell day high nine girl make go really thing thank five known cuz tribute heel promise"
"Taylor Swift_Starlight","said saying running would trying boardwalk skip could forget snuck walked keep crazy best marvelous one spend impossible dream ooh dancing ocean blue way married get pick like rock whole never singing yacht change duchess see met tune made window much summer bobby play song place remember teach wild party look pretending thinking oh talking playing starlight dressed night club prince worrying thing life nine kid moved"
"Taylor Swift_Stay Stay Stay","expecting last phone said hope room love grocery threw broke best dramatic dated helmet dream pretty gon turn loving taker morning wearing okay away carry like time stayed talk never problemout let choice whole na think fear read unresolved came indulgent football across given self laughing mad memorize always sure stay hanging else almost occurring quite hang leave funny night took life get fight one"
"Coldplay_Animals","future suppose know slow raw turn way away like ran chance na well animal looking climb stone say climbin run missed state forgot collapsible tell disposable go gon"
"Westlife_Puzzle Of My Heart","color picture love knew touch little became smiling cry start meant defense fall sens way piece wear miracle like light long time chorus never ago inside every think much eye heart puzzle ever always feeling losing need people feel thinking perfume right make memory take night meet fill hair complete"
"Westlife_Change Your Mind","last said wanted guy love stop alone know come hey turn town away someone baby time happy let change leaving home big see find something walk mistake someday ever left new understand run late working mind look oh give girl tell back make right leave night help lie hard"
"Lady Gaga_Superstar","youve sais could theradio tonight tv know come wonder number superstar seen hollywood light rock baby want everybody na loveconnection let see ne something got met think text je kiss dude celebrity johansson move feeling cuz movie radio oron dance bet scarlett oh quoi glass flash take night really hollywoodkiss certain break gon"
"Justin Bieber_U Smile","hand fold ai lip world know come whoa hey open yet unconditional command way seen away mile baby willing whenever na work in let able le smile weakness cause say heart wish ever always foot yeah hesitate biggest table need offer thousand oh mmmm give mean day right make take forever card get nothing gon wait"
